INSTITUTO DE PESQUISA E PLANEJAMENTO URBANO DE MARINGA
Liquidações pagas
Gerado em: 08/07/2025 20:08 com 145 registros.

Entidade;Fonte Recurso;Data Liquidação;Liquidação;Empenho;Fornecedor;Tipo Licitação;Licitação;Notas Fiscais;Valor;
15;1001 - Recursos do Tesouro (Descentralizados) ;12/06/2025;1;121/2025;29.979.036/0184-30 - INSTITUTO NACIONAL DO SEGURO SOCIAL;Dispensavel;/;;952,66;
15;1001 - Recursos do Tesouro (Descentralizados) ;12/06/2025;1;120/2025;29.979.036/0184-30 - INSTITUTO NACIONAL DO SEGURO SOCIAL;Dispensavel;/;;19.053,15;
15;1001 - Recursos do Tesouro (Descentralizados) ;09/06/2025;1;127/2025;76.282.656/0001-06 - FOLHA DE PAGAMENTO;Dispensavel;/;;34.740,78;
15;1001 - Recursos do Tesouro (Descentralizados) ;09/06/2025;1;126/2025;76.282.656/0001-06 - FOLHA DE PAGAMENTO;Dispensavel;/;;70.953,0;
15;1001 - Recursos do Tesouro (Descentralizados) ;02/06/2025;1;123/2025;78.074.804/0001-22 - MARINGA PREVIDENCIA - FUNDO FINANCEIRO;Dispensavel;/;;1.540,18;
15;1001 - Recursos do Tesouro (Descentralizados) ;02/06/2025;1;122/2025;78.074.804/0001-22 - MARINGA PREVIDENCIA - FUNDO PREVIDENCIARIO;Dispensavel;/;;24.454,06;
15;1001 - Recursos do Tesouro (Descentralizados) ;30/05/2025;1;125/2025;76.282.656/0001-06 - PREFEITURA DO MUNICIPIO DE MARINGA;Dispensavel;/;;1,13;
15;1001 - Recursos do Tesouro (Descentralizados) ;30/05/2025;1;124/2025;76.282.656/0001-06 - PREFEITURA DO MUNICIPIO DE MARINGA;Dispensavel;/;;0,1;
15;1001 - Recursos do Tesouro (Descentralizados) ;30/05/2025;1;119/2025;76.282.656/0001-06 - FOLHA DE PAGAMENTO;Dispensavel;/;;54.752,79;
15;1001 - Recursos do Tesouro (Descentralizados) ;30/05/2025;1;118/2025;76.282.656/0001-06 - FOLHA DE PAGAMENTO;Dispensavel;/;;7.514,1;
15;1001 - Recursos do Tesouro (Descentralizados) ;30/05/2025;1;117/2025;76.282.656/0001-06 - FOLHA DE PAGAMENTO;Dispensavel;/;;5.403,4;
15;1001 - Recursos do Tesouro (Descentralizados) ;30/05/2025;1;116/2025;76.282.656/0001-06 - FOLHA DE PAGAMENTO;Dispensavel;/;;4.505,44;
15;1001 - Recursos do Tesouro (Descentralizados) ;30/05/2025;1;115/2025;76.282.656/0001-06 - FOLHA DE PAGAMENTO;Dispensavel;/;;4.115,02;
15;1001 - Recursos do Tesouro (Descentralizados) ;30/05/2025;1;114/2025;76.282.656/0001-06 - FOLHA DE PAGAMENTO;Dispensavel;/;;72.815,76;
15;1001 - Recursos do Tesouro (Descentralizados) ;30/05/2025;1;113/2025;76.282.656/0001-06 - FOLHA DE PAGAMENTO;Dispensavel;/;;39.374,71;
15;1001 - Recursos do Tesouro (Descentralizados) ;30/05/2025;1;99/2025;00.000.000/0000-00 - FOLHA DE PAGAMENTO - RESCISÃO NORMAL CLT;Dispensavel;/;;396,73;
15;1001 - Recursos do Tesouro (Descentralizados) ;30/05/2025;1;98/2025;00.000.000/0000-00 - FOLHA DE PAGAMENTO - RESCISÃO NORMAL CLT;Dispensavel;/;;1.190,2;
15;1001 - Recursos do Tesouro (Descentralizados) ;30/05/2025;1;97/2025;00.000.000/0000-00 - FOLHA DE PAGAMENTO - RESCISÃO NORMAL CLT;Dispensavel;/;;1.190,2;
15;1001 - Recursos do Tesouro (Descentralizados) ;30/05/2025;1;96/2025;00.000.000/0000-00 - FOLHA DE PAGAMENTO - RESCISÃO NORMAL CLT;Dispensavel;/;;3.105,12;
15;1001 - Recursos do Tesouro (Descentralizados) ;30/05/2025;4;20/2025;06.344.497/0001-41 - VEROCHEQUE REFEICOES LTDA;Proc. Inexigibilidade;1/2019;7403369;7.006,93;
15;1001 - Recursos do Tesouro (Descentralizados) ;30/05/2025;10;19/2025;00.000.000/0001-91 - BANCO DO BRASIL SA;Dispensavel;/;;7,2;
15;1001 - Recursos do Tesouro (Descentralizados) ;30/05/2025;11;19/2025;00.000.000/0001-91 - BANCO DO BRASIL SA;Dispensavel;/;;18,0;
15;1001 - Recursos do Tesouro (Descentralizados) ;28/05/2025;3;21/2025;23.876.304/0001-12 - HOSPITAL BOM SAMARITANO DE MARINGÁ S/A;Pregão;306/2021;45863;2.629,83;
15;1001 - Recursos do Tesouro (Descentralizados) ;28/05/2025;4;21/2025;23.876.304/0001-12 - HOSPITAL BOM SAMARITANO DE MARINGÁ S/A;Pregão;306/2021;46178;2.629,83;
15;1001 - Recursos do Tesouro (Descentralizados) ;23/05/2025;4;1/2025;00.394.460/0143-63 - RECEITA FEDERAL;Dispensavel;/;;4.514,25;
15;1001 - Recursos do Tesouro (Descentralizados) ;19/05/2025;1;88/2025;29.979.036/0184-30 - INSTITUTO NACIONAL DO SEGURO SOCIAL;Dispensavel;/;;1.093,59;
15;1001 - Recursos do Tesouro (Descentralizados) ;19/05/2025;1;87/2025;29.979.036/0184-30 - INSTITUTO NACIONAL DO SEGURO SOCIAL;Dispensavel;/;;21.872,23;
15;1001 - Recursos do Tesouro (Descentralizados) ;09/05/2025;1;95/2025;76.282.656/0001-06 - FOLHA DE PAGAMENTO;Dispensavel;/;;8.412,8;
15;1001 - Recursos do Tesouro (Descentralizados) ;30/04/2025;1;93/2025;00.000.000/0000-00 - FOLHA DE PAGAMENTO - RESCISÃO NORMAL CLT;Dispensavel;/;;595,1;
15;1001 - Recursos do Tesouro (Descentralizados) ;30/04/2025;1;92/2025;00.000.000/0000-00 - FOLHA DE PAGAMENTO - RESCISÃO NORMAL CLT;Dispensavel;/;;81,76;
15;1001 - Recursos do Tesouro (Descentralizados) ;30/04/2025;1;91/2025;78.074.804/0001-22 - MARINGA PREVIDENCIA - FUNDO FINANCEIRO;Dispensavel;/;;1.540,18;
15;1001 - Recursos do Tesouro (Descentralizados) ;30/04/2025;1;90/2025;78.074.804/0001-22 - MARINGA PREVIDENCIA - FUNDO PREVIDENCIARIO;Dispensavel;/;;23.894,98;
15;1001 - Recursos do Tesouro (Descentralizados) ;30/04/2025;1;89/2025;76.282.656/0001-06 - FOLHA DE PAGAMENTO;Dispensavel;/;;386,3;
15;1001 - Recursos do Tesouro (Descentralizados) ;30/04/2025;1;86/2025;76.282.656/0001-06 - FOLHA DE PAGAMENTO;Dispensavel;/;;54.752,78;
15;1001 - Recursos do Tesouro (Descentralizados) ;30/04/2025;1;85/2025;76.282.656/0001-06 - FOLHA DE PAGAMENTO;Dispensavel;/;;2.635,28;
15;1001 - Recursos do Tesouro (Descentralizados) ;30/04/2025;1;84/2025;76.282.656/0001-06 - FOLHA DE PAGAMENTO;Dispensavel;/;;471,38;
15;1001 - Recursos do Tesouro (Descentralizados) ;30/04/2025;1;83/2025;76.282.656/0001-06 - FOLHA DE PAGAMENTO;Dispensavel;/;;4.996,28;
15;1001 - Recursos do Tesouro (Descentralizados) ;30/04/2025;1;82/2025;76.282.656/0001-06 - FOLHA DE PAGAMENTO;Dispensavel;/;;6.073,37;
15;1001 - Recursos do Tesouro (Descentralizados) ;30/04/2025;1;81/2025;76.282.656/0001-06 - FOLHA DE PAGAMENTO;Dispensavel;/;;4.010,17;
15;1001 - Recursos do Tesouro (Descentralizados) ;30/04/2025;1;80/2025;76.282.656/0001-06 - FOLHA DE PAGAMENTO;Dispensavel;/;;2.252,72;
15;1001 - Recursos do Tesouro (Descentralizados) ;30/04/2025;1;79/2025;76.282.656/0001-06 - FOLHA DE PAGAMENTO;Dispensavel;/;;4.170,49;
15;1001 - Recursos do Tesouro (Descentralizados) ;30/04/2025;1;78/2025;76.282.656/0001-06 - FOLHA DE PAGAMENTO;Dispensavel;/;;82.049,98;
15;1001 - Recursos do Tesouro (Descentralizados) ;30/04/2025;1;77/2025;76.282.656/0001-06 - FOLHA DE PAGAMENTO;Dispensavel;/;;37.588,94;
15;1001 - Recursos do Tesouro (Descentralizados) ;30/04/2025;1;76/2025;01.225.861/0001-30 - REGIUS - SOCIEDADE CIVIL DE PREVIDENCIA PRIVADA;Dispensavel;/;;402,27;
15;1001 - Recursos do Tesouro (Descentralizados) ;30/04/2025;8;19/2025;00.000.000/0001-91 - BANCO DO BRASIL SA;Dispensavel;/;;21,6;
15;1001 - Recursos do Tesouro (Descentralizados) ;30/04/2025;9;19/2025;00.000.000/0001-91 - BANCO DO BRASIL SA;Dispensavel;/;;39,6;
15;1001 - Recursos do Tesouro (Descentralizados) ;17/04/2025;1;72/2025;29.979.036/0184-30 - INSTITUTO NACIONAL DO SEGURO SOCIAL;Dispensavel;/;;982,27;
15;1001 - Recursos do Tesouro (Descentralizados) ;17/04/2025;1;71/2025;29.979.036/0184-30 - INSTITUTO NACIONAL DO SEGURO SOCIAL;Dispensavel;/;;19.645,94;
15;1001 - Recursos do Tesouro (Descentralizados) ;17/04/2025;2;25/2025;79.118.311/0001-00 - TRANSPORTE COLETIVO CIDADE CANCAO LTDA;Proc. Inexigibilidade;1/2024;1028634;62,16;
15;1001 - Recursos do Tesouro (Descentralizados) ;17/04/2025;3;1/2025;00.394.460/0143-63 - RECEITA FEDERAL;Dispensavel;/;;3.710,1;
15;1001 - Recursos do Tesouro (Descentralizados) ;03/04/2025;3;20/2025;06.344.497/0001-41 - VEROCHEQUE REFEICOES LTDA;Proc. Inexigibilidade;1/2019;7373182;6.187,94;
15;1001 - Recursos do Tesouro (Descentralizados) ;31/03/2025;1;75/2025;****150**** - GUILHERME BORDIN CATANI;Dispensavel;/;;151,31;
15;1001 - Recursos do Tesouro (Descentralizados) ;31/03/2025;1;74/2025;78.074.804/0001-22 - MARINGA PREVIDENCIA - FUNDO FINANCEIRO;Dispensavel;/;;1.540,18;
15;1001 - Recursos do Tesouro (Descentralizados) ;31/03/2025;1;73/2025;78.074.804/0001-22 - MARINGA PREVIDENCIA - FUNDO PREVIDENCIARIO;Dispensavel;/;;24.331,94;
15;1001 - Recursos do Tesouro (Descentralizados) ;31/03/2025;1;70/2025;76.282.656/0001-06 - FOLHA DE PAGAMENTO;Dispensavel;/;;54.100,91;
15;1001 - Recursos do Tesouro (Descentralizados) ;31/03/2025;1;69/2025;76.282.656/0001-06 - FOLHA DE PAGAMENTO;Dispensavel;/;;1.754,6;
15;1001 - Recursos do Tesouro (Descentralizados) ;31/03/2025;1;68/2025;76.282.656/0001-06 - FOLHA DE PAGAMENTO;Dispensavel;/;;3.016,62;
15;1001 - Recursos do Tesouro (Descentralizados) ;31/03/2025;1;67/2025;76.282.656/0001-06 - FOLHA DE PAGAMENTO;Dispensavel;/;;8.536,78;
15;1001 - Recursos do Tesouro (Descentralizados) ;31/03/2025;1;66/2025;76.282.656/0001-06 - FOLHA DE PAGAMENTO;Dispensavel;/;;5.760,08;
15;1001 - Recursos do Tesouro (Descentralizados) ;31/03/2025;1;65/2025;76.282.656/0001-06 - FOLHA DE PAGAMENTO;Dispensavel;/;;4.775,02;
15;1001 - Recursos do Tesouro (Descentralizados) ;31/03/2025;1;64/2025;76.282.656/0001-06 - FOLHA DE PAGAMENTO;Dispensavel;/;;3.522,98;
15;1001 - Recursos do Tesouro (Descentralizados) ;31/03/2025;1;63/2025;76.282.656/0001-06 - FOLHA DE PAGAMENTO;Dispensavel;/;;78.316,54;
15;1001 - Recursos do Tesouro (Descentralizados) ;31/03/2025;1;62/2025;76.282.656/0001-06 - FOLHA DE PAGAMENTO;Dispensavel;/;;38.316,83;
15;1001 - Recursos do Tesouro (Descentralizados) ;31/03/2025;1;61/2025;01.225.861/0001-30 - REGIUS - SOCIEDADE CIVIL DE PREVIDENCIA PRIVADA;Dispensavel;/;;402,27;
15;1001 - Recursos do Tesouro (Descentralizados) ;31/03/2025;6;19/2025;00.000.000/0001-91 - BANCO DO BRASIL SA;Dispensavel;/;;43,2;
15;1001 - Recursos do Tesouro (Descentralizados) ;31/03/2025;7;19/2025;00.000.000/0001-91 - BANCO DO BRASIL SA;Dispensavel;/;;46,8;
15;1001 - Recursos do Tesouro (Descentralizados) ;27/03/2025;1;43/2025;37.578.393/0001-25 - ESQUINA DO PAO PANIFICADORA LTDA.;Pregão;47/2024;2691;3.090,0;
15;1001 - Recursos do Tesouro (Descentralizados) ;27/03/2025;1;40/2025;37.578.393/0001-25 - ESQUINA DO PAO PANIFICADORA LTDA.;Pregão;47/2024;2690;1.690,0;
15;1001 - Recursos do Tesouro (Descentralizados) ;27/03/2025;1;24/2025;37.578.393/0001-25 - ESQUINA DO PAO PANIFICADORA LTDA.;Pregão;47/2024;2689;2.535,0;
15;1001 - Recursos do Tesouro (Descentralizados) ;25/03/2025;1;46/2025;****970**** - FERNANDA BEATRIZ MAROSTICA;Dispensavel;/;;534,83;
15;1001 - Recursos do Tesouro (Descentralizados) ;25/03/2025;1;45/2025;****800**** - FELIPE CARVALHO ARAUJO;Dispensavel;/;;2.300,0;
15;1001 - Recursos do Tesouro (Descentralizados) ;25/03/2025;1;44/2025;****800**** - FELIPE CARVALHO ARAUJO;Dispensavel;/;;2.587,32;
15;1001 - Recursos do Tesouro (Descentralizados) ;25/03/2025;3;41/2025;14.804.099/0001-99 - CONSELHO DE ARQUITETURA E URBANISMO DO PARANA - CAU/PR;Dispensavel;/;;125,4;
15;1001 - Recursos do Tesouro (Descentralizados) ;20/03/2025;1;41/2025;14.804.099/0001-99 - CONSELHO DE ARQUITETURA E URBANISMO DO PARANA - CAU/PR;Dispensavel;/;;125,4;
15;1001 - Recursos do Tesouro (Descentralizados) ;20/03/2025;2;41/2025;14.804.099/0001-99 - CONSELHO DE ARQUITETURA E URBANISMO DO PARANA - CAU/PR;Dispensavel;/;;125,4;
15;1001 - Recursos do Tesouro (Descentralizados) ;20/03/2025;1;37/2025;29.979.036/0184-30 - INSTITUTO NACIONAL DO SEGURO SOCIAL;Dispensavel;/;;798,04;
15;1001 - Recursos do Tesouro (Descentralizados) ;20/03/2025;1;36/2025;29.979.036/0184-30 - INSTITUTO NACIONAL DO SEGURO SOCIAL;Dispensavel;/;;15.960,55;
15;1001 - Recursos do Tesouro (Descentralizados) ;20/03/2025;2;21/2025;23.876.304/0001-12 - HOSPITAL BOM SAMARITANO DE MARINGÁ S/A;Pregão;306/2021;45287;2.629,83;
15;1001 - Recursos do Tesouro (Descentralizados) ;20/03/2025;2;1/2025;00.394.460/0143-63 - RECEITA FEDERAL;Dispensavel;/;;1.519,22;
15;1001 - Recursos do Tesouro (Descentralizados) ;06/03/2025;1;25/2025;79.118.311/0001-00 - TRANSPORTE COLETIVO CIDADE CANCAO LTDA;Proc. Inexigibilidade;1/2024;1024566;6,85;
15;1001 - Recursos do Tesouro (Descentralizados) ;06/03/2025;1;23/2025;34.382.012/0001-40 - MULTYGRAFHIC EDITORA LTDA;Pregão;177/2024;2428;363,0;
15;1001 - Recursos do Tesouro (Descentralizados) ;06/03/2025;2;20/2025;06.344.497/0001-41 - VEROCHEQUE REFEICOES LTDA;Proc. Inexigibilidade;1/2019;7344667;6.310,24;
15;1001 - Recursos do Tesouro (Descentralizados) ;28/02/2025;1;39/2025;78.074.804/0001-22 - MARINGA PREVIDENCIA - FUNDO FINANCEIRO;Dispensavel;/;;1.468,24;
15;1001 - Recursos do Tesouro (Descentralizados) ;28/02/2025;1;38/2025;78.074.804/0001-22 - MARINGA PREVIDENCIA - FUNDO PREVIDENCIARIO;Dispensavel;/;;20.410,55;
15;1001 - Recursos do Tesouro (Descentralizados) ;28/02/2025;1;28/2025;01.225.861/0001-30 - REGIUS - SOCIEDADE CIVIL DE PREVIDENCIA PRIVADA;Dispensavel;/;;351,09;
15;1001 - Recursos do Tesouro (Descentralizados) ;28/02/2025;2;19/2025;00.000.000/0001-91 - BANCO DO BRASIL SA;Dispensavel;/;;18,0;
15;1001 - Recursos do Tesouro (Descentralizados) ;28/02/2025;5;19/2025;00.000.000/0001-91 - BANCO DO BRASIL SA;Dispensavel;/;;46,8;
15;1001 - Recursos do Tesouro (Descentralizados) ;28/02/2025;4;19/2025;00.000.000/0001-91 - BANCO DO BRASIL SA;Dispensavel;/;;21,6;
15;1001 - Recursos do Tesouro (Descentralizados) ;28/02/2025;3;19/2025;00.000.000/0001-91 - BANCO DO BRASIL SA;Dispensavel;/;;43,2;
15;1001 - Recursos do Tesouro (Descentralizados) ;27/02/2025;1;35/2025;76.282.656/0001-06 - FOLHA DE PAGAMENTO;Dispensavel;/;;45.399,16;
15;1001 - Recursos do Tesouro (Descentralizados) ;27/02/2025;1;34/2025;76.282.656/0001-06 - FOLHA DE PAGAMENTO;Dispensavel;/;;1.754,6;
15;1001 - Recursos do Tesouro (Descentralizados) ;27/02/2025;1;33/2025;76.282.656/0001-06 - FOLHA DE PAGAMENTO;Dispensavel;/;;4.581,04;
15;1001 - Recursos do Tesouro (Descentralizados) ;27/02/2025;1;32/2025;76.282.656/0001-06 - FOLHA DE PAGAMENTO;Dispensavel;/;;2.531,51;
15;1001 - Recursos do Tesouro (Descentralizados) ;27/02/2025;1;31/2025;76.282.656/0001-06 - FOLHA DE PAGAMENTO;Dispensavel;/;;3.957,12;
15;1001 - Recursos do Tesouro (Descentralizados) ;27/02/2025;1;30/2025;76.282.656/0001-06 - FOLHA DE PAGAMENTO;Dispensavel;/;;61.919,24;
15;1001 - Recursos do Tesouro (Descentralizados) ;27/02/2025;1;29/2025;76.282.656/0001-06 - FOLHA DE PAGAMENTO;Dispensavel;/;;35.978,62;
15;1001 - Recursos do Tesouro (Descentralizados) ;17/02/2025;1;12/2025;29.979.036/0184-30 - INSTITUTO NACIONAL DO SEGURO SOCIAL;Dispensavel;/;;363,54;
15;1001 - Recursos do Tesouro (Descentralizados) ;17/02/2025;1;11/2025;29.979.036/0184-30 - INSTITUTO NACIONAL DO SEGURO SOCIAL;Dispensavel;/;;7.270,98;
15;1001 - Recursos do Tesouro (Descentralizados) ;13/02/2025;1;21/2025;23.876.304/0001-12 - HOSPITAL BOM SAMARITANO DE MARINGÁ S/A;Pregão;306/2021;44862;424,16;
15;1001 - Recursos do Tesouro (Descentralizados) ;13/02/2025;1;1/2025;00.394.460/0143-63 - RECEITA FEDERAL;Dispensavel;/;;1.532,36;
15;1001 - Recursos do Tesouro (Descentralizados) ;04/02/2025;1;20/2025;06.344.497/0001-41 - VEROCHEQUE REFEICOES LTDA;Proc. Inexigibilidade;1/2019;7330780;6.090,11;
15;1001 - Recursos do Tesouro (Descentralizados) ;31/01/2025;1;18/2025;00.394.460/0143-63 - RECEITA FEDERAL;Dispensavel;/;;64,82;
15;1001 - Recursos do Tesouro (Descentralizados) ;31/01/2025;1;17/2025;00.394.460/0143-63 - RECEITA FEDERAL;Dispensavel;/;;855,64;
15;1001 - Recursos do Tesouro (Descentralizados) ;31/01/2025;1;16/2025;00.394.460/0143-63 - RECEITA FEDERAL;Dispensavel;/;;162,09;
15;1001 - Recursos do Tesouro (Descentralizados) ;31/01/2025;1;15/2025;00.394.460/0143-63 - RECEITA FEDERAL;Dispensavel;/;;2.139,72;
15;1001 - Recursos do Tesouro (Descentralizados) ;31/01/2025;1;14/2025;78.074.804/0001-22 - MARINGA PREVIDENCIA - FUNDO FINANCEIRO;Dispensavel;/;;1.488,99;
15;1001 - Recursos do Tesouro (Descentralizados) ;31/01/2025;1;13/2025;78.074.804/0001-22 - MARINGA PREVIDENCIA - FUNDO PREVIDENCIARIO;Dispensavel;/;;20.410,55;
15;1001 - Recursos do Tesouro (Descentralizados) ;31/01/2025;1;2/2025;01.225.861/0001-30 - REGIUS - SOCIEDADE CIVIL DE PREVIDENCIA PRIVADA;Dispensavel;/;;351,09;
15;1001 - Recursos do Tesouro (Descentralizados) ;29/01/2025;1;10/2025;76.282.656/0001-06 - FOLHA DE PAGAMENTO;Dispensavel;/;;45.421,14;
15;1001 - Recursos do Tesouro (Descentralizados) ;29/01/2025;1;9/2025;76.282.656/0001-06 - FOLHA DE PAGAMENTO;Dispensavel;/;;1.754,6;
15;1001 - Recursos do Tesouro (Descentralizados) ;29/01/2025;1;8/2025;76.282.656/0001-06 - FOLHA DE PAGAMENTO;Dispensavel;/;;8.652,85;
15;1001 - Recursos do Tesouro (Descentralizados) ;29/01/2025;1;7/2025;76.282.656/0001-06 - FOLHA DE PAGAMENTO;Dispensavel;/;;4.713,42;
15;1001 - Recursos do Tesouro (Descentralizados) ;29/01/2025;1;6/2025;76.282.656/0001-06 - FOLHA DE PAGAMENTO;Dispensavel;/;;2.025,21;
15;1001 - Recursos do Tesouro (Descentralizados) ;29/01/2025;1;5/2025;76.282.656/0001-06 - FOLHA DE PAGAMENTO;Dispensavel;/;;3.181,69;
15;1001 - Recursos do Tesouro (Descentralizados) ;29/01/2025;1;4/2025;76.282.656/0001-06 - FOLHA DE PAGAMENTO;Dispensavel;/;;28.672,34;
15;1001 - Recursos do Tesouro (Descentralizados) ;29/01/2025;1;3/2025;76.282.656/0001-06 - FOLHA DE PAGAMENTO;Dispensavel;/;;34.676,9;
